,words,cos,id,brand,hash_similarity,match,predicted_match,predicted_scores
213,0.5454545454545454,0.3781228399646978,0.0,0.0,0.25,1,0,0.34394668641243986
1006,0.2727272727272727,0.2364986233005043,0.0,0.0,0.0,1,0,0.10849951397525494
534,0.6666666666666666,0.5641119448490347,0.0,0.0,0.25,0,1,0.6230573870573871
1233,1.0,1.0,0.0,0.0,0.0,0,1,0.9675963736470979
870,0.3333333333333333,0.2462696856984602,0.0,0.0,0.0625,1,0,0.458142148667444
1153,0.5454545454545454,0.5585253106572509,0.0,1.0,0.25,1,0,0.49882209293974
1378,0.5,0.5427300610387755,0.0,0.0,0.0,0,1,0.6758643183300718
544,0.7142857142857143,0.6649725392835033,0.0,0.0,0.125,0,1,0.6230573870573871
922,0.25,0.2158267496324676,0.0,0.0,0.125,1,0,0.3108290767168353
1225,0.6666666666666666,0.541633290730648,0.0,0.0,0.0,0,1,0.6230573870573871
1388,0.625,0.5823526899671875,0.0,0.0,0.0,0,1,0.5391121815779351
242,0.3333333333333333,0.1498005213196571,0.0,0.0,0.0,1,0,0.29820089403425293
1621,0.3333333333333333,0.3180870383815637,0.0,0.0,0.0,1,0,0.29820089403425293
950,0.0,0.0,0.0,0.0,0.0,1,0,0.08390223618689314
23,0.3,0.559928654302384,0.0,0.0,0.125,0,1,0.5574947589098532
1382,0.7142857142857143,0.566885145564101,0.0,0.0,0.0,0,1,0.6230573870573871
1510,0.3333333333333333,0.3599128294284758,0.0,0.0,0.0,1,0,0.342097732048738
1511,0.3333333333333333,0.3599128294284758,0.0,0.0,0.0,1,0,0.342097732048738
919,0.3333333333333333,0.3012854998239266,0.0,0.0,0.0625,1,0,0.458142148667444
339,0.1111111111111111,0.2704625432818384,0.0,0.0,0.125,1,0,0.24378735144726194
928,0.625,0.4594434089396285,0.0,0.0,0.125,1,0,0.4746631171288705
920,0.3333333333333333,0.1455392466980153,0.0,0.0,0.0625,1,0,0.3096189419163892
942,0.6,0.5811427252829743,0.0,1.0,0.125,1,0,0.49882209293974
1419,1.0,1.0000000000000002,0.0,0.0,0.0,0,1,0.9675963736470979
964,0.4285714285714285,0.332089263299251,0.0,0.0,0.5625,1,0,0.2845747801075215
251,0.4444444444444444,0.4385732317050996,0.0,0.0,0.125,1,0,0.37994220635730075
471,0.7142857142857143,0.6323626796485826,0.0,0.0,0.125,0,1,0.6230573870573871
1400,0.625,0.4999760631677225,0.0,0.0,0.0,0,1,0.5391121815779351
205,0.5454545454545454,0.3781228399646978,0.0,0.0,0.25,1,0,0.34394668641243986
1745,0.8,0.6331040320432417,0.0,0.0,0.0,0,1,0.6230573870573871
961,0.4285714285714285,0.2011777140499545,0.0,0.0,0.0625,1,0,0.2845747801075215
936,0.375,0.2004778216459598,0.0,0.0,0.0625,1,0,0.458142148667444
1224,0.75,0.4793263860603955,0.0,0.0,0.0,0,1,0.5586083226083226
1169,0.75,0.4459692238182509,0.0,0.0,0.0,1,0,0.3900474175833292
1668,1.0,0.3576244449233456,0.0,0.0,0.0,1,0,0.4051446377981965
1246,1.0,0.7194559803796376,0.0,0.0,0.0,0,1,0.5719058719058719
894,0.2,0.2181295107566779,0.0,0.0,0.0,1,0,0.2013990433388727
330,0.5,0.365164327512513,0.0,0.0,0.125,1,0,0.34394668641243986
1191,0.2222222222222222,0.0929515506745328,0.0,0.0,0.125,1,0,0.16230586996578047
1113,0.375,0.2799396732390524,0.0,0.0,0.0625,1,0,0.458142148667444
1066,0.6666666666666666,0.3869927448226222,0.0,0.0,0.0625,1,0,0.4278918918918919
956,0.3333333333333333,0.2677172421743647,0.0,0.0,0.125,1,0,0.458142148667444
1507,0.3333333333333333,0.4349618651108876,0.0,0.0,0.0,1,0,0.342097732048738
1109,0.375,0.2799396732390524,0.0,0.0,0.0625,1,0,0.458142148667444
1183,0.6,0.4649551321717419,0.0,0.0,0.0,1,0,0.4746631171288705
184,0.125,0.1744182565168963,0.0,0.0,0.0,1,0,0.2013990433388727
905,0.25,0.1458991742180307,0.0,0.0,0.0,1,0,0.3865842285240579
987,0.125,0.2144392237996479,0.0,0.0,0.5625,1,0,0.07532840722495895
666,0.6153846153846154,0.5630401966411835,0.0,0.0,0.0,0,1,0.5391121815779351
183,0.125,0.1349794959109834,0.0,0.0,0.0,1,0,0.06784943533670997
245,0.3,0.1411901193334374,0.0,0.0,0.0,1,0,0.19288492006337318
1129,0.6363636363636364,0.5194436566585515,0.0,1.0,0.0,1,0,0.49882209293974
603,0.75,0.4693339179408149,0.0,0.0,0.125,0,1,0.5586083226083226
1110,0.25,0.3144741906883965,0.0,0.0,0.0625,1,0,0.3108290767168353
965,0.25,0.2011777140499545,0.0,0.0,0.0625,1,0,0.3108290767168353
985,0.3333333333333333,0.2144392237996479,0.0,0.0,0.5625,1,0,0.458142148667444
925,0.2,0.0905472157767625,0.0,0.0,0.1875,1,0,0.11023774344509919
1086,0.2727272727272727,0.3311886838339098,0.0,0.0,0.1875,1,0,0.3108290767168353
966,0.25,0.2011777140499545,0.0,0.0,0.0625,1,0,0.3108290767168353
1667,0.2857142857142857,0.1855102513492953,0.0,0.0,0.0,1,0,0.24813353884790357
1727,1.0,1.0000000000000002,0.0,0.0,0.0,0,1,0.9675963736470979
1449,0.6666666666666666,0.5211840903117452,0.0,0.0,0.0,0,1,0.6230573870573871
921,0.0833333333333333,0.0905472157767625,0.0,0.0,0.1875,1,0,0.1262905442952824
