,words,cos,id,brand,hash_similarity,match,predicted_match,predicted_scores
1017,0.4,0.4461875838629021,0.0,1.0,0.0,1,0,0.25619864566429074
1038,0.3333333333333333,0.3710495083175786,0.0,0.0,0.0625,1,0,0.3011307275480427
1129,0.6363636363636364,0.5194436566585515,0.0,1.0,0.0,1,0,0.3327205884464427
1165,0.5,0.4285186716703087,0.0,0.0,0.3125,1,0,0.3987835166750603
1260,1.0,0.7428882691126822,0.0,0.0,0.0,0,1,0.9018548182535328
186,0.125,0.1349794959109834,0.0,0.0,0.0,1,0,0.16361663565647275
1747,0.7777777777777778,0.5799132975281356,0.0,0.0,0.0,0,1,0.7675229543685325
1214,0.8,0.7465068362465042,0.0,0.0,0.0,0,1,0.9051852803324835
526,0.6,0.4470966558857145,0.0,0.0,0.625,0,1,0.6225646817965144
9,0.8,0.5404253926141439,0.0,0.0,0.3125,0,1,0.7370561882637672
603,0.75,0.4693339179408149,0.0,0.0,0.125,0,1,0.5451863400732585
1255,0.6666666666666666,0.525627789040171,0.0,0.0,0.0,0,1,0.6296112812312272
1523,0.4285714285714285,0.4514831261404928,0.0,0.0,0.0,1,0,0.43664275553501813
436,0.6428571428571429,0.5706820209675368,0.0,0.0,0.4375,0,1,0.802944258817609
141,0.5,0.4883700004853036,0.0,0.0,0.375,0,1,0.6014277722457143
1003,0.4,0.3821053592894612,0.0,0.0,0.375,1,0,0.34214058447589074
969,0.4285714285714285,0.332089263299251,0.0,0.0,0.5625,1,0,0.2969750727400767
1019,0.5555555555555556,0.4708734702068257,0.0,0.0,0.0,1,0,0.47012535626668983
1033,0.3333333333333333,0.3710495083175786,0.0,0.0,0.0625,1,0,0.3011307275480427
948,0.7142857142857143,0.598427885269,0.0,1.0,0.125,1,0,0.4438437958841071
1599,0.3333333333333333,0.3180870383815637,0.0,0.0,0.0,1,0,0.22312468391531776
1119,0.2857142857142857,0.2921012140946956,0.0,0.0,0.0,1,0,0.21094086950617932
1233,1.0,1.0,0.0,0.0,0.0,0,1,0.8869088799381941
967,0.25,0.1351593860275513,0.0,0.0,0.0625,1,0,0.12989625845641
1026,0.6666666666666666,0.3869927448226222,0.0,0.0,0.0625,1,0,0.32916567493996995
950,0.0,0.0,0.0,0.0,0.0,1,0,0.1628947078317353
341,0.0,0.0,0.0,0.0,0.1875,1,0,0.1629843421058543
1382,0.7142857142857143,0.566885145564101,0.0,0.0,0.0,0,1,0.7240330854313102
1428,0.6666666666666666,0.4974098464235633,0.0,0.0,0.625,0,1,0.7429777268327815
1134,0.2857142857142857,0.2911113612033918,0.0,0.0,0.0625,1,0,0.20626605410948246
954,0.1666666666666666,0.0884179118935996,0.0,0.0,0.0625,1,0,0.14254904605488547
953,0.3333333333333333,0.2539300032678581,0.0,0.0,0.125,1,0,0.15172398993937974
500,0.6363636363636364,0.4597554013886346,0.0,0.0,0.875,0,1,0.79405925842712
1378,0.5,0.5427300610387755,0.0,0.0,0.0,0,1,0.6512063543887829
936,0.375,0.2004778216459598,0.0,0.0,0.0625,1,0,0.12058973118200285
1400,0.625,0.4999760631677225,0.0,0.0,0.0,0,1,0.5550958419181873
1127,0.3636363636363636,0.3747678634011799,0.0,0.0,0.125,1,0,0.2953705171441718
48,0.5,0.4922800625245037,0.0,0.0,0.125,0,1,0.5348231632294564
1084,0.3333333333333333,0.3828303103121674,0.0,0.0,0.0,1,0,0.3229366054049369
305,0.25,0.1957477206981967,0.0,0.0,0.0,1,0,0.15450302029589258
340,0.0,0.0,0.0,0.0,0.1875,1,0,0.1629843421058543
333,0.2857142857142857,0.1748239073993968,0.0,0.0,0.1875,1,0,0.12023575924747797
91,1.0,0.7905367662118223,0.0,0.0,0.0,0,1,0.9055913819311979
1420,1.0,1.0000000000000002,0.0,0.0,0.0,0,1,0.8869088799381903
872,0.4285714285714285,0.2462696856984602,0.0,0.0,0.0625,1,0,0.1329979461545171
289,0.5,0.1957477206981967,0.0,0.0,0.0,1,0,0.12461834324886953
911,0.3333333333333333,0.1458991742180307,0.0,0.0,0.0,1,0,0.12459558240057979
1110,0.25,0.3144741906883965,0.0,0.0,0.0625,1,0,0.2516738821217721
942,0.6,0.5811427252829743,0.0,1.0,0.125,1,0,0.39703367665562755
1198,0.3333333333333333,0.5285057457626104,0.0,1.0,0.25,1,0,0.34530468525008
284,0.0,0.0,0.0,0.0,0.0,1,0,0.1628947078317353
1262,1.0,1.0000000000000002,0.0,0.0,0.0,0,1,0.8869088799381903
1667,0.2857142857142857,0.1855102513492953,0.0,0.0,0.0,1,0,0.14211930462390407
1122,0.375,0.2799396732390524,0.0,0.0,0.0625,1,0,0.1655965583482018
481,0.7142857142857143,0.569206178654,0.0,0.0,0.0625,0,1,0.7293003010472762
1168,0.5714285714285714,0.4529430477856778,0.0,0.0,0.1875,1,0,0.4267909737687579
1259,1.0,0.8881436818779986,0.0,0.0,0.0,0,1,0.9038109546730839
1737,0.7142857142857143,0.5132617049224909,0.0,0.0,0.0625,0,1,0.6216497863547158
1322,1.0,0.4523652286575623,0.0,0.0,0.0,0,1,0.7924423532774203
1221,0.75,0.5870076167661074,0.0,0.0,0.0,0,1,0.767091309255017
336,0.0,0.0,0.0,0.0,0.125,1,0,0.16297914257794444
1621,0.3333333333333333,0.3180870383815637,0.0,0.0,0.0,1,0,0.22312468391531776
334,0.2857142857142857,0.2994214034410876,0.0,0.0,0.1875,1,0,0.21634665992731866
939,0.375,0.2004778216459598,0.0,0.0,0.0625,1,0,0.12058973118200285
304,0.2,0.1825311891659405,0.0,0.0,0.0,1,0,0.1621318153962449
1728,1.0,1.0,0.0,0.0,0.0,0,1,0.8869088799381941
906,0.25,0.1529018996209445,0.0,0.0,0.0,1,0,0.14086312071979282
654,0.8888888888888888,0.8017554317039426,0.0,1.0,0.0,0,1,0.7969848794270749
548,0.5714285714285714,0.6157388827655923,0.0,0.0,0.0625,0,1,0.8018134834530003
1727,1.0,1.0000000000000002,0.0,0.0,0.0,0,1,0.8869088799381903
1427,0.6666666666666666,0.4974098464235633,0.0,0.0,0.5,0,1,0.675447690596597
1133,0.2857142857142857,0.2911113612033918,0.0,0.0,0.0625,1,0,0.20626605410948246
899,0.6666666666666666,0.4934040372641134,0.0,1.0,0.6875,1,0,0.32087313900995734
1135,0.2857142857142857,0.2911113612033918,0.0,0.0,0.0625,1,0,0.20626605410948246
1060,0.6666666666666666,0.3869927448226222,0.0,0.0,0.0625,1,0,0.32916567493996995
1188,0.375,0.199526405945316,0.0,0.0,0.0625,1,0,0.12026581072783678
955,0.3333333333333333,0.2677172421743647,0.0,0.0,0.125,1,0,0.16257733134784147
1075,0.3333333333333333,0.2858486452626821,0.0,0.0,0.0625,1,0,0.18302124870667044
965,0.25,0.2011777140499545,0.0,0.0,0.0625,1,0,0.1510319231711585
308,0.0,0.0,0.0,0.0,0.0625,1,0,0.16281632313822064
1010,0.2222222222222222,0.1484382654244083,0.0,0.0,0.4375,1,0,0.12928401862306074
253,0.4444444444444444,0.4385732317050996,0.0,0.0,0.125,1,0,0.4057129976228135
1225,0.6666666666666666,0.541633290730648,0.0,0.0,0.0,0,1,0.66056120534582
867,0.3333333333333333,0.2462696856984602,0.0,0.0,0.0625,1,0,0.15174775414154199
235,0.0,0.0,0.0,0.0,0.0,1,0,0.1628947078317353
1219,0.6666666666666666,0.7665602900460994,0.0,0.0,0.0,0,1,0.9245856386268126
27,0.6666666666666666,0.5826682672240735,0.0,0.0,0.0,0,1,0.7385363305884768
1166,0.1428571428571428,0.2112567846929721,0.0,0.0,0.0,1,0,0.19389276187142176
301,0.5,0.1957477206981967,0.0,0.0,0.0,1,0,0.12461834324886953
